"stockid","stocklong","assessid","scientificname","commonname","areaid","region"
"COD1IN","Atlantic cod NAFO Subarea 1 (inshore)","NWWG-COD1IN-1976-2021-ICESIMP2021-2","Gadus morhua","Atlantic cod","multinational-ICES-1IN","Canada East Coast"
"COD5Zjm","Atlantic cod NAFO 5Zjm","DFO-COD5Zjm-1978-2010-WATSON","Gadus morhua","Atlantic cod","multinational-TRAC-5Zjm","Canada East Coast"
"CODBA2532","Atlantic cod Eastern Baltic","WGBFAS-CODBA2532-1966-2012-CHING","Gadus morhua","Atlantic cod","multinational-ICES-25-32","European Union"
"CODFAPL","Atlantic cod Faroe Plateau","NWWG-CODFAPL-1959-2012-CHING","Gadus morhua","Atlantic cod","multinational-ICES-Vb1","Europe non EU"
"CODICE","Atlantic cod Iceland Grounds","NWWG-CODICE-1952-2012-CHING","Gadus morhua","Atlantic cod","multinational-ICES-Va","Europe non EU"
"CODIS","Atlantic cod Irish Sea","WGBFAS-CODIS-1968-2010-NEUBAUER","Gadus morhua","Atlantic cod","multinational-ICES-VIIa","European Union"
"CODNEAR","Atlantic cod North-East Arctic","AFWG-CODNEAR-1946-2011-CHING","Gadus morhua","Atlantic cod","multinational-ICES-I-II","Europe non EU"
"COWCODSCAL","Cowcod Southern California","PFMC-COWCODSCAL-1900-2015-HIVELY","Sebastes levis","Cowcod","USA-NMFS-SCAL","US West Coast"
"CPRROCKPCOAST","Copper rockfish Pacific Coast","SWFSC-CPRROCKPCOAST-1916-2012-SISIMP2016","Sebastes caurinus","Copper rockfish","USA-NMFS-PCOAST","US West Coast"
"CROCKPCOAST","Canary rockfish Pacific Coast","NWFSC-CROCKPCOAST-1916-2011-STACHURA","Sebastes pinniger","Canary rockfish","USA-NMFS-PCOAST","US West Coast"
"CROCKWCVANISOGQCI","Canary rockfish West Coast of Vancouver Island and Strait of Georgia and Queen Charlotte Islands","DFO-CROCKWCVANISOGQCI-1945-2009-STANTON","Sebastes pinniger","Canary rockfish","Canada-DFO-WCVANI-SOG-QCI","Canada West Coast"
"CTRACSA","Cape horse mackerel South Africa South coast","MARAM-CTRACSA-1949-2013-Furman","Trachurus capensis","Cape horse mackerel","South Africa-DETMCM-SASC","Southern Africa"
"DEEPCHAKESA","Deep water cape hake South Africa","MARAM-DEEPCHAKESA-1917-2015-Rademeyer","Merluccius paradoxus","Deep water cape hake","South Africa-DETMCM-SA","Southern Africa"
"DKROCKPCOAST","Darkblotched rockfish Pacific Coast","NWFSC-DKROCKPCOAST-1928-2011-STACHURA","Sebastes crameri","Darkblotched rockfish","USA-NMFS-PCOAST","US West Coast"
"DSOLEPCOAST","Dover sole Pacific Coast","SWFSC-DSOLEPCOAST-1910-2011-STACHURA","Microstomus pacificus","Dover sole","USA-NMFS-PCOAST","US West Coast"
"ECSOLESASC","East coast sole South Africa South coast","FBDAFF-ECSOLESASC-1920-2020-GLAZER","Austroglossus pectoralis","East coast sole","South Africa-DETMCM-SASC","Southern Africa"
"ESOLEPCOAST","English sole Pacific Coast","NWFSC-ESOLEPCOAST-1876-2007-BRANCH","Parophrys vetulus","English sole","USA-NMFS-PCOAST","US West Coast"
"GAGSATLC","Gag Southern Atlantic coast","SEFSC-GAGSATLC-1962-2005-JENSEN","Mycteroperca microlepis","Gag","USA-NMFS-SATLC","US Southeast and Gulf"
"GEMFISHNZ","Common gemfish New Zealand","NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN","Rexea solandri","Common gemfish","New Zealand-MFish-NZ","New Zealand"
"GOPHERSPCOAST","Gopher rockfish Southern Pacific Coast","SWFSC-GOPHERSPCOAST-1965-2005-STANTON","Sebastes carnatus","Gopher rockfish","USA-NMFS-SPCOAST","US West Coast"
