"stockid","stocklong","assessid","scientificname","commonname","areaid","region"
"CHAKESA","Shallow water cape hake South Africa","MARAM-CHAKESA-1917-2015-Rademeyer","Merluccius capensis","Shallow water cape hake","South Africa-DETMCM-SA","Southern Africa"
"CHILISPCOAST","Chilipepper Southern Pacific Coast","NWFSC-CHILISPCOAST-1892-2007-BRANCH","Sebastes goodei","Chilipepper","USA-NMFS-SPCOAST","US West Coast"
"CHROCKCPCOAST","China rockfish Central Pacific Coast","NWFSC-CHROCKCPCOAST-1900-2019-SISIMP2021-2","Sebastes nebulosus","China rockfish","USA-NMFS-CPCOAST","US West Coast"
"CHROCKNPCOAST","China rockfish Northern Pacific Coast","SWFSC-CHROCKNPCOAST-1900-2019-SISIMP2021-2","Sebastes nebulosus","China rockfish","USA-NMFS-NPCOAST","US West Coast"
"CHROCKSPCOAST","China rockfish Southern Pacific Coast","NWFSC-CHROCKSPCOAST-1900-2019-SISIMP2021-2","Sebastes nebulosus","China rockfish","USA-NMFS-SPCOAST","US West Coast"
"CHTRACCH","Chilean jack mackerel Chilean EEZ and offshore","IFOP-CHTRACCH-1950-2010-RICARD","Trachurus murphyi","Chilean jack mackerel","multinational-SPRFMO-CH","South America"
"CMACKPJPN","Chub mackerel Pacific Coast of Japan","FAJ-CMACKPJPN-1970-2009-ONO","Scomber japonicus","Chub mackerel","Japan-FAJ-PJPN","Japan"
"CMACKTSST","Chub mackerel Tsushima Strait","FAJ-CMACKTSST-1973-2014-KUROTA","Scomber japonicus","Chub mackerel","Japan-FAJ-TSST","Japan"
"COBGM","Cobia Gulf of Mexico","SEFSC-COBGM-1927-2018-SISIMP2021-2","Rachycentron canadum","Cobia","USA-NMFS-GM","US Southeast and Gulf"
"COD1IN","Atlantic cod NAFO Subarea 1 (inshore)","NWWG-COD1IN-1976-2021-ICESIMP2021-2","Gadus morhua","Atlantic cod","multinational-ICES-1IN","Canada East Coast"
"CODBA2532","Atlantic cod Eastern Baltic","WGBFAS-CODBA2532-1966-2012-CHING","Gadus morhua","Atlantic cod","multinational-ICES-25-32","European Union"
"CODFAPL","Atlantic cod Faroe Plateau","NWWG-CODFAPL-1959-2012-CHING","Gadus morhua","Atlantic cod","multinational-ICES-Vb1","Europe non EU"
"CODICE","Atlantic cod Iceland Grounds","NWWG-CODICE-1952-2012-CHING","Gadus morhua","Atlantic cod","multinational-ICES-Va","Europe non EU"
"CODIS","Atlantic cod Irish Sea","WGBFAS-CODIS-1968-2010-NEUBAUER","Gadus morhua","Atlantic cod","multinational-ICES-VIIa","European Union"
"CODNEAR","Atlantic cod North-East Arctic","AFWG-CODNEAR-1946-2011-CHING","Gadus morhua","Atlantic cod","multinational-ICES-I-II","Europe non EU"
"CODVIIek","Atlantic cod Celtic Sea","WGBFAS-CODVIIek-1971-2012-CHING","Gadus morhua","Atlantic cod","multinational-ICES-VIIe-k","European Union"
"CODVIa","Atlantic cod West of Scotland","WGCSE-CODVIa-1981-2012-CHING","Gadus morhua","Atlantic cod","multinational-ICES-VIa","European Union"
"COWCODSCAL","Cowcod Southern California","PFMC-COWCODSCAL-1900-2015-HIVELY","Sebastes levis","Cowcod","USA-NMFS-SCAL","US West Coast"
"CROCKPCOAST","Canary rockfish Pacific Coast","NWFSC-CROCKPCOAST-1916-2011-STACHURA","Sebastes pinniger","Canary rockfish","USA-NMFS-PCOAST","US West Coast"
"CTRACSA","Cape horse mackerel South Africa South coast","MARAM-CTRACSA-1949-2013-Furman","Trachurus capensis","Cape horse mackerel","South Africa-DETMCM-SASC","Southern Africa"
"DEEPCHAKESA","Deep water cape hake South Africa","MARAM-DEEPCHAKESA-1917-2015-Rademeyer","Merluccius paradoxus","Deep water cape hake","South Africa-DETMCM-SA","Southern Africa"
"DKROCKPCOAST","Darkblotched rockfish Pacific Coast","NWFSC-DKROCKPCOAST-1928-2011-STACHURA","Sebastes crameri","Darkblotched rockfish","USA-NMFS-PCOAST","US West Coast"
"DSOLEGA","Dover sole Gulf of Alaska","AFSC-DSOLEGA-1978-2009-STACHURA","Microstomus pacificus","Dover sole","USA-NMFS-GA","US Alaska"
"DSOLEPCOAST","Dover sole Pacific Coast","SWFSC-DSOLEPCOAST-1910-2011-STACHURA","Microstomus pacificus","Dover sole","USA-NMFS-PCOAST","US West Coast"
"DUSROCKGA","Dusky rockfish Gulf of Alaska","AFSC-DUSROCKGA-1973-2010-STACHURA","Sebastes variabilis","Dusky rockfish","USA-NMFS-GA","US Alaska"
"ESOLEPCOAST","English sole Pacific Coast","NWFSC-ESOLEPCOAST-1876-2007-BRANCH","Parophrys vetulus","English sole","USA-NMFS-PCOAST","US West Coast"
"FLSOLEBSAI","Flathead sole Bering Sea and Aleutian Islands","AFSC-FLSOLEBSAI-1974-2010-STACHURA","Hippoglossoides elassodon","Flathead sole","USA-NMFS-BSAI","US Alaska"
"GAGGM","Gag Gulf of Mexico","SEFSC-GAGGM-1963-2012-HIVELY","Mycteroperca microlepis","Gag","USA-NMFS-GM","US Southeast and Gulf"
"GAGSATLC","Gag Southern Atlantic coast","SEFSC-GAGSATLC-1962-2005-JENSEN","Mycteroperca microlepis","Gag","USA-NMFS-SATLC","US Southeast and Gulf"
"GEMFISHNZ","Common gemfish New Zealand","NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN","Rexea solandri","Common gemfish","New Zealand-MFish-NZ","New Zealand"
"GHALBSAI","Greenland halibut Bering Sea and Aleutian Islands","AFSC-GHALBSAI-1960-2015-HIVELY","Reinhardtius hippoglossoides","Greenland halibut","USA-NMFS-BSAI","US Alaska"
"GOPHERSPCOAST","Gopher rockfish Southern Pacific Coast","SWFSC-GOPHERSPCOAST-1965-2005-STANTON","Sebastes carnatus","Gopher rockfish","USA-NMFS-SPCOAST","US West Coast"
"GRAMBERGM","Greater amberjack Gulf of Mexico","SEFSC-GRAMBERGM-1986-2004-JENSEN","Seriola dumerili","Greater amberjack","USA-NMFS-GM","US Southeast and Gulf"
"GRNSTROCKPCOAST","Greenstriped rockfish Pacific Coast","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","Sebastes elongatus","Greenstriped rockfish","USA-NMFS-PCOAST","US West Coast"
"GRSPROCKNCAL","Greenspotted rockfish Northern Pacific Coast","SWFSC-GRSPROCKNCAL-1916-2010-STACHURA","Sebastes chlorostictus","Greenspotted rockfish","USA-NMFS-NPCOAST","US West Coast"
"GRSPROCKSCAL","Greenspotted rockfish Southern Pacific Coast","SWFSC-GRSPROCKSCAL-1916-2010-STACHURA","Sebastes chlorostictus","Greenspotted rockfish","USA-NMFS-SPCOAST","US West Coast"
"GSTRGZRSTA7","Giant stargazer NZ Area STA7","NIWA-GSTRGZRSTA7-1964-2007-CORDUE","Kathetostoma giganteum","Giant stargazer","New Zealand-MFish-STA7","New Zealand"
"GTRIGGM","Gray triggerfish Gulf of Mexico","SEFSC-GTRIGGM-1962-2010-HIVELY","Balistes capriscus","Gray triggerfish","USA-NMFS-GM","US Southeast and Gulf"
"HAD5Y","Haddock Gulf of Maine","NEFSC-HAD5Y-1964-2011-CHING","Melanogrammus aeglefinus","Haddock","USA-NMFS-5Y","US East Coast"
"HADFAPL","Haddock Faroe Plateau","NWWG-HADFAPL-1955-2012-CHING","Melanogrammus aeglefinus","Haddock","multinational-ICES-Vb1","Europe non EU"
"HADGB","Haddock Georges Bank","TRAC-HADGB-1969-2014-WATSON","Melanogrammus aeglefinus","Haddock","USA-NMFS-GB","US East Coast"
"HADICE","Haddock Iceland Grounds","NWWG-HADICE-1977-2012-CHING","Melanogrammus aeglefinus","Haddock","multinational-ICES-Va","Europe non EU"
"HADNEAR","Haddock North-East Arctic","AFWG-HADNEAR-1947-2012-CHING","Melanogrammus aeglefinus","Haddock","multinational-ICES-I-II","Europe non EU"
"HAKENRTN","Hake ICES 3a-4-6-7-8abd","WGHMM-HAKENRTN-1961-2011-CHING","Merluccius merluccius","Hake","multinational-ICES-IIIa-IV-VI-VII-VIIIabd","European Union"
"HAKESPPSAF","Hake spp Southern Africa","NatMIRC-HAKESPPSAF-1964-2019-ASHBROOK","Merluccius spp","Hake spp","Namibia-NMFMR-SAF","Southern Africa"
"HERRNIRS","Herring Irish Sea","HAWG-HERRNIRS-1960-2010-NEUBAUER","Clupea harengus","Herring","multinational-ICES-VIIa","European Union"
"HERRNWATLC","Herring Northwestern Atlantic Coast","NEFSC-HERRNWATLC-1964-2011-HIVELY","Clupea harengus","Herring","USA-NMFS-NWATLC","US East Coast"
"HERRRIGA","Herring Gulf of Riga East of Gotland","WGBFAS-HERRRIGA-1976-2011-NEUBAUER","Clupea harengus","Herring","multinational-ICES-RIGA","European Union"
"HERRSIRS","Herring ICES 7a-g-h-j-k","HAWG-HERRSIRS-1957-2010-NEUBAUER","Clupea harengus","Herring","multinational-ICES-VIIa-g-h-j-k","European Union"
"HERRVIaVIIbc","Herring ICES 6a7bc","HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER","Clupea harengus","Herring","multinational-ICES-VIa-VIIb-VIIc","European Union"
"HOKIENZ","Hoki Eastern New Zealand","NIWA-HOKIENZ-1970-2015-FU","Macruronus novaezelandiae","Hoki","New Zealand-MFish-ENZ","New Zealand"
"HOKIWNZ","Hoki Western New Zealand","NIWA-HOKIWNZ-1970-2015-FU","Macruronus novaezelandiae","Hoki","New Zealand-MFish-WNZ","New Zealand"
"JANCHOTSST","Japanese anchovy Tsushima Strait","FAJ-JANCHOTSST-1977-2014-KUROTA","Engraulis japonicus","Japanese anchovy","Japan-FAJ-TSST","Japan"
"JMACKTSST","Japanese jack mackerel Tsushima Strait","FAJ-JMACKTSST-1973-2010-ONO","Trachurus japonicus","Japanese jack mackerel","Japan-FAJ-TSST","Japan"
"KMACKGM","King mackerel Gulf of Mexico","SEFSC-KMACKGM-1929-2012-HIVELY","Scomberomorus cavalla","King mackerel","USA-NMFS-GM","US Southeast and Gulf"
"KMACKSATLC","King mackerel Southern Atlantic coast","SEFSC-KMACKSATLC-1901-2012-HIVELY","Scomberomorus cavalla","King mackerel","USA-NMFS-SATLC","US Southeast and Gulf"
"LINGCODNPCOAST","Lingcod Northern Pacific Coast","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA","Ophiodon elongatus","Lingcod","USA-NMFS-NPCOAST","US West Coast"
"LINGCODSPCOAST","Lingcod Southern Pacific Coast","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA","Ophiodon elongatus","Lingcod","USA-NMFS-SPCOAST","US West Coast"
"LNOSESKAPCOAST","Longnose skate Pacific Coast","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH","Raja rhina","Longnose skate","USA-NMFS-PCOAST","US West Coast"
"LOBSTERSNE","American lobster Southern New England","ASMFC-LOBSTERSNE-1981-2007-STANTON","Homarus americanus","American lobster","USA-NMFS-SNE","US East Coast"
"LSTHORNHPCOAST","Longspine thornyhead Pacific Coast","NWFSC-LSTHORNHPCOAST-1964-2012-HIVELY","Sebastolobus altivelis","Longspine thornyhead","USA-NMFS-PCOAST","US West Coast"
"MACKNEICES","Mackerel ICES Northeast Atlantic","WGMHSA-MACKNEICES-1972-2007-JENNINGS","Scomber scombrus","Mackerel","multinational-ICES-IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa","European Union"
"MENATGM","Gulf menhaden Gulf of Mexico","SEFSC-MENATGM-1948-2011-HIVELY","Brevoortia patronus","Gulf menhaden","USA-NMFS-GM","US Southeast and Gulf"
